 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:44 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:45 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:46 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:48 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:49 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:50 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:52 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:53 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:54 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:56 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:57 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:38:58 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:00 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:01 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:03 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:04 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:05 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:07 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:08 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:09 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:11 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:12 --  deg K/C
 62.894  62.894 226.850 226.850 226.850 226.850 226.850 226.850 June 20 2015 20:39:13 --  deg K/C
